Age,Education,EducationNum,MaritalStatus,Relationship,Gender,CapitalGain,HoursPerWeek
28, Some-college,10, Divorced, Unmarried, Female,0,25
30, HS-grad,9, Married-civ-spouse, Wife, Female,0,35
37, Some-college,10, Married-civ-spouse, Husband, Male,0,48
48, Assoc-acdm,12, Divorced, Unmarried, Female,0,40
76, Masters,14, Married-civ-spouse, Husband, Male,0,40
44, Bachelors,13, Married-civ-spouse, Husband, Male,15024,60
20, Some-college,10, Never-married, Own-child, Female,0,40
29, HS-grad,9, Never-married, Not-in-family, Male,0,40
30, 11th,7, Never-married, Own-child, Male,0,40
42, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
24, Bachelors,13, Never-married, Other-relative, Male,0,40
38, Prof-school,15, Married-civ-spouse, Husband, Male,0,40
28, Some-college,10, Married-civ-spouse, Wife, Female,4064,25
36, HS-grad,9, Never-married, Own-child, Female,0,40
53, 9th,5, Married-civ-spouse, Husband, Male,0,50
55, Some-college,10, Married-civ-spouse, Husband, Male,0,56
22, HS-grad,9, Never-married, Not-in-family, Male,0,41
21, Some-college,10, Never-married, Own-child, Female,0,40
40, Bachelors,13, Married-civ-spouse, Husband, Male,0,60
30, Bachelors,13, Never-married, Own-child, Male,0,40
19, Some-college,10, Never-married, Own-child, Male,0,35
47, Bachelors,13, Married-civ-spouse, Wife, Female,0,40
20, Some-college,10, Never-married, Own-child, Female,0,28
31, Assoc-acdm,12, Married-civ-spouse, Husband, Male,0,40
39, Some-college,10, Divorced, Not-in-family, Male,0,40
28, Assoc-acdm,12, Never-married, Not-in-family, Female,0,60
24, HS-grad,9, Never-married, Not-in-family, Female,0,40
37, Bachelors,13, Married-civ-spouse, Husband, Male,0,50
46, Assoc-acdm,12, Divorced, Not-in-family, Female,0,36
27, Assoc-voc,11, Married-civ-spouse, Wife, Female,0,35
20, Some-college,10, Never-married, Own-child, Male,0,20
49, Some-college,10, Married-civ-spouse, Husband, Male,0,40
27, Some-college,10, Never-married, Own-child, Female,0,40
19, Some-college,10, Never-married, Own-child, Male,0,30
45, Assoc-voc,11, Never-married, Not-in-family, Female,0,40
70, Some-college,10, Never-married, Other-relative, Male,0,40
31, HS-grad,9, Never-married, Unmarried, Female,0,30
22, Some-college,10, Married-civ-spouse, Husband, Male,0,24
36, HS-grad,9, Widowed, Unmarried, Female,0,24
64, 11th,7, Married-civ-spouse, Husband, Male,0,40
34, HS-grad,9, Never-married, Not-in-family, Female,0,40
33, Bachelors,13, Never-married, Other-relative, Female,0,40
21, HS-grad,9, Never-married, Own-child, Male,0,35
48, HS-grad,9, Married-civ-spouse, Husband, Male,0,46
23, Bachelors,13, Never-married, Not-in-family, Male,0,40
29, HS-grad,9, Divorced, Not-in-family, Male,0,60
42, Bachelors,13, Separated, Other-relative, Male,0,50
25, HS-grad,9, Never-married, Unmarried, Female,0,40
28, HS-grad,9, Never-married, Not-in-family, Female,0,40
36, Some-college,10, Divorced, Unmarried, Female,0,40
18, 11th,7, Never-married, Own-child, Male,0,16
27, HS-grad,9, Never-married, Not-in-family, Male,0,40
51, Some-college,10, Married-civ-spouse, Husband, Male,0,40
27, Bachelors,13, Never-married, Not-in-family, Male,0,50
27, HS-grad,9, Married-spouse-absent, Unmarried, Female,0,25
21, HS-grad,9, Never-married, Own-child, Male,0,40
34, HS-grad,9, Never-married, Not-in-family, Male,0,40
18, HS-grad,9, Never-married, Own-child, Male,0,12
33, Bachelors,13, Married-civ-spouse, Husband, Male,0,65
43, Some-college,10, Divorced, Not-in-family, Female,0,40
30, Some-college,10, Never-married, Not-in-family, Male,0,45
40, 7th-8th,4, Married-civ-spouse, Husband, Male,0,40
34, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
31, Masters,14, Married-civ-spouse, Wife, Female,0,50
38, Some-college,10, Divorced, Not-in-family, Female,0,28
24, Some-college,10, Married-civ-spouse, Husband, Male,0,40
47, Some-college,10, Married-civ-spouse, Husband, Male,0,45
23, 5th-6th,3, Married-civ-spouse, Other-relative, Male,0,40
36, Some-college,10, Divorced, Not-in-family, Male,0,40
35, Masters,14, Married-civ-spouse, Other-relative, Male,7298,40
26, Masters,14, Never-married, Not-in-family, Female,0,40
51, Bachelors,13, Married-civ-spouse, Husband, Male,0,50
18, 11th,7, Never-married, Own-child, Female,0,40
36, Bachelors,13, Married-civ-spouse, Husband, Male,7298,36
35, HS-grad,9, Divorced, Not-in-family, Male,0,60
17, 11th,7, Never-married, Own-child, Female,0,12
37, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
35, Some-college,10, Never-married, Not-in-family, Female,0,40
60, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
37, Bachelors,13, Never-married, Not-in-family, Male,0,60
50, Assoc-acdm,12, Divorced, Not-in-family, Female,0,40
38, Bachelors,13, Married-civ-spouse, Husband, Male,0,50
45, Bachelors,13, Married-civ-spouse, Husband, Male,0,55
25, 10th,6, Never-married, Not-in-family, Male,0,40
31, Some-college,10, Married-civ-spouse, Husband, Male,0,40
90, HS-grad,9, Never-married, Not-in-family, Male,0,40
54, HS-grad,9, Married-civ-spouse, Husband, Male,0,20
18, HS-grad,9, Never-married, Own-child, Female,0,40
75, Assoc-voc,11, Widowed, Not-in-family, Female,0,20
65, HS-grad,9, Divorced, Not-in-family, Female,0,40
35, 11th,7, Separated, Not-in-family, Male,3674,40
41, HS-grad,9, Divorced, Unmarried, Female,0,38
25, Some-college,10, Never-married, Not-in-family, Male,0,42
33, Some-college,10, Divorced, Other-relative, Female,0,40
28, Prof-school,15, Never-married, Not-in-family, Male,0,55
41, Bachelors,13, Married-civ-spouse, Husband, Male,0,50
23, HS-grad,9, Never-married, Own-child, Male,0,40
40, Bachelors,13, Married-civ-spouse, Husband, Male,0,40
38, Some-college,10, Divorced, Not-in-family, Male,0,40
56, HS-grad,9, Married-civ-spouse, Husband, Male,0,35
58, HS-grad,9, Married-civ-spouse, Husband, Male,0,45
32, HS-grad,9, Never-married, Not-in-family, Female,0,34
40, Assoc-acdm,12, Married-civ-spouse, Husband, Male,0,60
45, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
41, Prof-school,15, Married-civ-spouse, Wife, Female,0,40
42, Bachelors,13, Married-civ-spouse, Wife, Female,0,40
58, Some-college,10, Never-married, Not-in-family, Male,0,20
20, HS-grad,9, Never-married, Own-child, Female,0,40
32, HS-grad,9, Separated, Not-in-family, Female,0,30
45, Assoc-voc,11, Widowed, Not-in-family, Female,0,45
50, 7th-8th,4, Divorced, Not-in-family, Male,0,40
36, Bachelors,13, Divorced, Own-child, Female,0,40
45, HS-grad,9, Married-civ-spouse, Husband, Male,0,60
17, 11th,7, Never-married, Own-child, Male,0,12
59, Some-college,10, Married-civ-spouse, Husband, Male,4064,40
26, 11th,7, Married-civ-spouse, Husband, Male,0,40
64, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
33, Bachelors,13, Never-married, Not-in-family, Female,0,45
33, HS-grad,9, Married-civ-spouse, Wife, Female,0,40
61, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
17, 9th,5, Never-married, Own-child, Male,1055,24
30, HS-grad,9, Divorced, Own-child, Female,0,40
43, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
44, Some-college,10, Married-civ-spouse, Husband, Male,7298,40
35, Some-college,10, Never-married, Not-in-family, Female,0,40
25, Some-college,10, Never-married, Own-child, Female,0,40
24, Some-college,10, Married-civ-spouse, Wife, Female,7298,48
22, Bachelors,13, Never-married, Not-in-family, Female,0,15
34, Assoc-acdm,12, Divorced, Unmarried, Female,0,45
60, Bachelors,13, Divorced, Not-in-family, Female,0,42
21, HS-grad,9, Never-married, Own-child, Male,0,40
41, Prof-school,15, Married-civ-spouse, Husband, Male,0,60
50, Some-college,10, Divorced, Not-in-family, Male,0,45
25, Bachelors,13, Never-married, Not-in-family, Female,0,40
50, 7th-8th,4, Married-civ-spouse, Husband, Male,0,40
36, Bachelors,13, Married-civ-spouse, Husband, Male,0,45
31, HS-grad,9, Divorced, Not-in-family, Female,0,40
21, Some-college,10, Never-married, Own-child, Male,0,45
27, Bachelors,13, Never-married, Unmarried, Female,0,40
65, HS-grad,9, Married-civ-spouse, Husband, Male,0,16
24, HS-grad,9, Never-married, Own-child, Male,0,40
38, HS-grad,9, Divorced, Not-in-family, Male,0,80
48, Bachelors,13, Married-civ-spouse, Husband, Male,7688,40
21, Some-college,10, Never-married, Not-in-family, Female,0,25
31, HS-grad,9, Married-civ-spouse, Husband, Male,0,45
55, HS-grad,9, Married-civ-spouse, Husband, Male,4386,40
24, Some-college,10, Married-civ-spouse, Wife, Female,0,40
43, HS-grad,9, Divorced, Not-in-family, Female,0,40
26, Assoc-acdm,12, Never-married, Not-in-family, Male,0,45
46, Assoc-acdm,12, Never-married, Not-in-family, Female,0,33
35, Assoc-acdm,12, Married-civ-spouse, Husband, Male,0,40
26, Bachelors,13, Never-married, Not-in-family, Male,0,40
34, Masters,14, Married-civ-spouse, Husband, Male,7298,35
22, Some-college,10, Never-married, Own-child, Male,0,15
24, Some-college,10, Never-married, Not-in-family, Male,0,40
22, 5th-6th,3, Married-civ-spouse, Other-relative, Female,0,40
29, Some-college,10, Never-married, Not-in-family, Female,0,40
62, HS-grad,9, Widowed, Not-in-family, Female,0,24
43, Some-college,10, Married-civ-spouse, Husband, Male,0,50
35, HS-grad,9, Divorced, Not-in-family, Male,0,45
29, 11th,7, Never-married, Not-in-family, Female,0,40
43, Some-college,10, Married-civ-spouse, Wife, Female,0,50
66, HS-grad,9, Never-married, Not-in-family, Male,2050,55
41, Some-college,10, Never-married, Not-in-family, Male,0,45
26, Bachelors,13, Never-married, Not-in-family, Male,0,40
47, Assoc-voc,11, Never-married, Not-in-family, Male,0,40
53, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
17, 5th-6th,3, Never-married, Other-relative, Male,0,48
30, HS-grad,9, Never-married, Other-relative, Male,0,40
49, Masters,14, Never-married, Not-in-family, Male,0,60
19, HS-grad,9, Never-married, Unmarried, Male,0,30
45, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
26, Assoc-acdm,12, Never-married, Not-in-family, Male,0,40
38, Assoc-voc,11, Married-civ-spouse, Husband, Male,7298,40
33, HS-grad,9, Never-married, Not-in-family, Male,0,20
56, Assoc-acdm,12, Married-spouse-absent, Not-in-family, Male,0,25
31, Bachelors,13, Never-married, Own-child, Male,0,25
33, Bachelors,13, Married-civ-spouse, Husband, Male,0,40
26, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
33, Bachelors,13, Married-civ-spouse, Husband, Male,0,40
65, 11th,7, Widowed, Unmarried, Male,0,40
40, Assoc-voc,11, Married-civ-spouse, Husband, Male,0,40
42, HS-grad,9, Married-civ-spouse, Wife, Female,0,35
36, 10th,6, Married-civ-spouse, Wife, Female,0,24
62, Masters,14, Married-civ-spouse, Husband, Male,0,40
43, Bachelors,13, Married-civ-spouse, Husband, Male,0,45
43, Bachelors,13, Divorced, Not-in-family, Male,0,45
22, HS-grad,9, Married-spouse-absent, Not-in-family, Male,0,55
28, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
22, Assoc-acdm,12, Never-married, Not-in-family, Female,0,15
57, Bachelors,13, Divorced, Not-in-family, Female,0,45
39, HS-grad,9, Divorced, Unmarried, Female,0,40
17, 11th,7, Never-married, Own-child, Male,0,10
45, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
44, HS-grad,9, Never-married, Not-in-family, Male,0,40
33, HS-grad,9, Married-civ-spouse, Wife, Female,0,40
23, Some-college,10, Never-married, Not-in-family, Male,0,40
38, HS-grad,9, Married-civ-spouse, Husband, Male,0,50
54, HS-grad,9, Divorced, Not-in-family, Male,0,40
46, 5th-6th,3, Divorced, Not-in-family, Female,0,45
25, Some-college,10, Married-civ-spouse, Husband, Male,0,40
46, Some-college,10, Divorced, Not-in-family, Female,0,40
23, HS-grad,9, Never-married, Not-in-family, Female,0,25
29, HS-grad,9, Separated, Not-in-family, Male,0,40
44, Some-college,10, Married-civ-spouse, Wife, Female,0,6
19, Some-college,10, Never-married, Own-child, Female,0,16
19, HS-grad,9, Never-married, Other-relative, Female,0,40
35, HS-grad,9, Married-civ-spouse, Wife, Female,0,40
27, Bachelors,13, Never-married, Not-in-family, Male,0,50
34, HS-grad,9, Never-married, Not-in-family, Female,0,35
44, Some-college,10, Married-civ-spouse, Husband, Male,0,40
45, Some-college,10, Divorced, Unmarried, Female,0,40
25, Bachelors,13, Married-civ-spouse, Husband, Male,0,55
20, Some-college,10, Never-married, Own-child, Male,0,40
28, Some-college,10, Never-married, Not-in-family, Female,0,40
34, Assoc-voc,11, Divorced, Not-in-family, Female,0,64
28, 7th-8th,4, Married-civ-spouse, Husband, Male,0,40
41, Masters,14, Married-civ-spouse, Husband, Male,0,65
28, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
32, Some-college,10, Married-civ-spouse, Husband, Male,0,50
24, HS-grad,9, Never-married, Unmarried, Female,0,40
33, Some-college,10, Divorced, Unmarried, Female,0,40
46, Doctorate,16, Married-civ-spouse, Husband, Male,15024,60
35, 12th,8, Divorced, Not-in-family, Male,0,50
52, 1st-4th,2, Married-civ-spouse, Husband, Male,0,40
30, 11th,7, Never-married, Own-child, Female,0,19
20, Some-college,10, Married-civ-spouse, Husband, Male,0,30
17, 11th,7, Never-married, Own-child, Male,2176,18
29, HS-grad,9, Divorced, Not-in-family, Male,0,40
33, 10th,6, Never-married, Unmarried, Female,0,35
25, HS-grad,9, Married-civ-spouse, Husband, Male,0,60
23, HS-grad,9, Never-married, Not-in-family, Male,0,72
30, Assoc-acdm,12, Married-civ-spouse, Wife, Female,0,25
27, Some-college,10, Never-married, Own-child, Male,0,40
33, Masters,14, Married-civ-spouse, Husband, Male,0,50
23, Some-college,10, Married-civ-spouse, Husband, Male,0,40
29, Bachelors,13, Never-married, Not-in-family, Male,0,40
45, HS-grad,9, Divorced, Not-in-family, Female,0,28
44, Some-college,10, Married-civ-spouse, Husband, Male,0,40
27, 9th,5, Never-married, Other-relative, Male,0,40
20, Some-college,10, Never-married, Not-in-family, Male,0,35
44, HS-grad,9, Widowed, Unmarried, Female,0,40
51, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
20, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
19, HS-grad,9, Never-married, Own-child, Female,0,40
60, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
42, Assoc-acdm,12, Married-civ-spouse, Husband, Male,0,40
40, Assoc-voc,11, Married-civ-spouse, Husband, Male,0,40
30, HS-grad,9, Married-civ-spouse, Wife, Female,0,40
38, Some-college,10, Married-civ-spouse, Husband, Male,0,50
23, HS-grad,9, Married-civ-spouse, Husband, Male,0,60
44, Assoc-acdm,12, Never-married, Own-child, Male,0,40
32, Bachelors,13, Married-civ-spouse, Husband, Male,0,50
50, 1st-4th,2, Married-spouse-absent, Unmarried, Male,0,40
24, Bachelors,13, Never-married, Not-in-family, Female,0,20
37, HS-grad,9, Married-civ-spouse, Wife, Female,0,60
52, HS-grad,9, Divorced, Unmarried, Male,0,40
38, Some-college,10, Married-civ-spouse, Husband, Male,0,40
49, Masters,14, Married-civ-spouse, Husband, Male,0,45
30, Bachelors,13, Married-civ-spouse, Wife, Female,0,16
60, Some-college,10, Never-married, Unmarried, Male,0,40
35, HS-grad,9, Never-married, Not-in-family, Male,0,40
30, HS-grad,9, Never-married, Not-in-family, Male,0,60
67, Assoc-voc,11, Divorced, Not-in-family, Female,0,24
46, Bachelors,13, Never-married, Not-in-family, Female,0,40
17, 9th,5, Never-married, Not-in-family, Male,0,6
22, Some-college,10, Never-married, Own-child, Male,0,30
27, 10th,6, Never-married, Not-in-family, Male,0,40
23, HS-grad,9, Never-married, Unmarried, Female,0,35
33, Assoc-acdm,12, Married-civ-spouse, Husband, Male,0,45
41, HS-grad,9, Married-spouse-absent, Unmarried, Female,0,40
25, Some-college,10, Married-spouse-absent, Own-child, Female,0,20
38, Bachelors,13, Married-civ-spouse, Husband, Male,15024,60
40, HS-grad,9, Never-married, Not-in-family, Female,0,35
35, Assoc-acdm,12, Never-married, Not-in-family, Female,0,60
34, HS-grad,9, Divorced, Unmarried, Female,0,25
33, Bachelors,13, Never-married, Own-child, Male,0,20
41, HS-grad,9, Divorced, Unmarried, Female,0,36
20, Some-college,10, Never-married, Own-child, Male,0,40
23, 5th-6th,3, Never-married, Own-child, Male,0,40
26, Some-college,10, Never-married, Not-in-family, Female,0,35
52, Some-college,10, Married-civ-spouse, Husband, Male,0,40
58, Some-college,10, Divorced, Unmarried, Female,0,42
25, Bachelors,13, Never-married, Not-in-family, Female,0,40
24, Bachelors,13, Never-married, Not-in-family, Male,0,40
19, Some-college,10, Never-married, Own-child, Male,0,8
43, Some-college,10, Married-civ-spouse, Husband, Male,0,40
39, HS-grad,9, Divorced, Unmarried, Female,0,40
49, Assoc-voc,11, Married-spouse-absent, Unmarried, Male,0,42
32, Assoc-voc,11, Never-married, Not-in-family, Male,0,45
34, Some-college,10, Married-civ-spouse, Husband, Male,0,50
28, HS-grad,9, Divorced, Not-in-family, Male,0,45
25, Some-college,10, Never-married, Not-in-family, Female,0,20
34, Bachelors,13, Married-civ-spouse, Husband, Male,0,50
50, HS-grad,9, Married-civ-spouse, Husband, Male,7688,50
44, Some-college,10, Divorced, Unmarried, Male,0,58
28, Some-college,10, Married-civ-spouse, Wife, Female,0,40
42, Bachelors,13, Married-civ-spouse, Husband, Male,0,40
74, Some-college,10, Divorced, Not-in-family, Female,0,9
44, 11th,7, Divorced, Unmarried, Female,0,46
26, HS-grad,9, Never-married, Not-in-family, Male,0,40
36, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
41, Assoc-acdm,12, Married-civ-spouse, Wife, Female,0,50
67, Prof-school,15, Married-civ-spouse, Husband, Male,20051,48
57, 1st-4th,2, Widowed, Not-in-family, Female,0,30
29, Assoc-voc,11, Separated, Not-in-family, Male,0,40
44, Some-college,10, Married-civ-spouse, Husband, Male,0,40
29, Doctorate,16, Never-married, Own-child, Male,0,40
30, Some-college,10, Never-married, Unmarried, Female,0,40
27, HS-grad,9, Never-married, Not-in-family, Male,0,40
27, Some-college,10, Married-civ-spouse, Husband, Male,0,50
32, HS-grad,9, Never-married, Not-in-family, Female,0,45
58, 10th,6, Married-civ-spouse, Wife, Female,0,8
21, HS-grad,9, Never-married, Own-child, Male,0,36
28, Some-college,10, Never-married, Unmarried, Male,0,40
72, 11th,7, Widowed, Unmarried, Female,0,40
35, HS-grad,9, Married-civ-spouse, Wife, Female,0,40
69, 11th,7, Never-married, Not-in-family, Female,0,40
35, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
31, HS-grad,9, Separated, Unmarried, Female,0,20
34, HS-grad,9, Married-civ-spouse, Wife, Female,0,32
30, 11th,7, Married-civ-spouse, Husband, Male,0,40
28, Bachelors,13, Never-married, Not-in-family, Male,0,55
54, Bachelors,13, Married-civ-spouse, Husband, Male,0,35
47, Some-college,10, Married-civ-spouse, Husband, Male,0,50
24, HS-grad,9, Never-married, Unmarried, Female,0,40
20, HS-grad,9, Never-married, Own-child, Male,0,48
45, 7th-8th,4, Separated, Unmarried, Female,0,40
47, Masters,14, Divorced, Unmarried, Male,0,42
24, HS-grad,9, Never-married, Own-child, Male,0,40
51, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
17, 11th,7, Never-married, Own-child, Male,0,12
37, Assoc-voc,11, Married-civ-spouse, Husband, Male,0,40
27, Doctorate,16, Never-married, Not-in-family, Female,0,70
29, Bachelors,13, Married-civ-spouse, Wife, Male,0,40
57, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
59, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
27, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
21, Some-college,10, Never-married, Own-child, Female,0,24
29, Some-college,10, Never-married, Not-in-family, Male,0,60
18, 11th,7, Never-married, Own-child, Male,0,40
52, 10th,6, Married-civ-spouse, Husband, Male,0,47
60, 7th-8th,4, Never-married, Not-in-family, Male,0,48
31, Bachelors,13, Married-civ-spouse, Husband, Male,7688,40
23, Bachelors,13, Never-married, Own-child, Female,0,40
27, HS-grad,9, Never-married, Own-child, Male,0,40
25, Some-college,10, Never-married, Not-in-family, Male,2174,40
49, Bachelors,13, Never-married, Not-in-family, Female,0,45
32, Bachelors,13, Never-married, Not-in-family, Male,0,40
19, Some-college,10, Never-married, Own-child, Male,0,28
60, 7th-8th,4, Divorced, Not-in-family, Female,0,40
48, HS-grad,9, Never-married, Unmarried, Female,0,37
51, Masters,14, Married-civ-spouse, Husband, Male,0,40
29, HS-grad,9, Never-married, Not-in-family, Male,0,40
17, 10th,6, Never-married, Own-child, Female,0,21
52, Masters,14, Divorced, Not-in-family, Female,6849,60
24, HS-grad,9, Never-married, Not-in-family, Male,0,40
24, HS-grad,9, Married-civ-spouse, Husband, Male,0,50
27, Bachelors,13, Never-married, Own-child, Female,0,20
39, HS-grad,9, Never-married, Own-child, Male,0,60
30, HS-grad,9, Married-civ-spouse, Husband, Male,0,45
46, Prof-school,15, Married-civ-spouse, Husband, Male,15024,45
23, Bachelors,13, Never-married, Own-child, Female,0,20
45, 11th,7, Widowed, Not-in-family, Female,0,20
65, 9th,5, Widowed, Unmarried, Female,0,24
29, Assoc-voc,11, Married-civ-spouse, Husband, Male,0,55
47, 9th,5, Married-spouse-absent, Unmarried, Male,0,40
30, HS-grad,9, Never-married, Own-child, Male,0,60
34, HS-grad,9, Married-civ-spouse, Husband, Male,0,45
33, Some-college,10, Married-civ-spouse, Husband, Male,0,40
49, Bachelors,13, Married-civ-spouse, Husband, Male,0,26
43, Some-college,10, Married-civ-spouse, Husband, Male,15024,60
30, Bachelors,13, Married-civ-spouse, Wife, Female,0,40
19, HS-grad,9, Never-married, Own-child, Female,0,14
21, Bachelors,13, Never-married, Not-in-family, Male,0,40
33, Bachelors,13, Married-civ-spouse, Husband, Male,15024,60
26, HS-grad,9, Divorced, Not-in-family, Male,0,55
60, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
21, Some-college,10, Never-married, Own-child, Male,0,40
36, Some-college,10, Married-civ-spouse, Husband, Male,5178,50
31, Some-college,10, Married-civ-spouse, Husband, Male,0,45
71, HS-grad,9, Married-civ-spouse, Husband, Male,0,15
20, Some-college,10, Never-married, Own-child, Male,0,20
24, HS-grad,9, Never-married, Other-relative, Male,4101,50
35, Doctorate,16, Married-civ-spouse, Husband, Male,0,40
27, HS-grad,9, Never-married, Own-child, Female,0,32
34, HS-grad,9, Married-civ-spouse, Husband, Male,0,45
44, 7th-8th,4, Married-civ-spouse, Husband, Male,0,35
43, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
35, Masters,14, Never-married, Not-in-family, Male,0,60
27, Some-college,10, Never-married, Not-in-family, Male,0,40
20, Some-college,10, Never-married, Not-in-family, Female,0,25
42, Assoc-acdm,12, Divorced, Unmarried, Female,8614,40
42, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
24, 9th,5, Never-married, Not-in-family, Male,0,40
33, Bachelors,13, Married-civ-spouse, Husband, Male,0,40
22, HS-grad,9, Never-married, Own-child, Female,2597,40
17, 12th,8, Never-married, Own-child, Male,0,16
32, Some-college,10, Married-civ-spouse, Husband, Male,0,40
31, HS-grad,9, Never-married, Not-in-family, Male,0,45
37, Assoc-voc,11, Married-civ-spouse, Husband, Male,0,40
34, HS-grad,9, Divorced, Not-in-family, Female,0,40
41, Masters,14, Never-married, Not-in-family, Male,0,35
26, HS-grad,9, Never-married, Other-relative, Male,0,30
24, Some-college,10, Never-married, Own-child, Female,0,45
42, Some-college,10, Married-civ-spouse, Husband, Male,0,50
20, Some-college,10, Never-married, Own-child, Male,0,20
35, Masters,14, Never-married, Not-in-family, Male,0,60
